catalog_product,series,slug,title,cluster,status,metadata_completion_rate,metadata_readiness,total_link_degree,network_role,github_path
Catalyst Canvas,Content Frameworks,what-are-content-frameworks,What Are Content Frameworks?,Foundations,published,1.0,ready,2,thinly linked,articles/what-are-content-frameworks/
Catalyst Canvas,Content Frameworks,why-frameworks-matter-in-research-education-and-strategic-communication,Why Frameworks Matter in Research Education and Strategic Communication,Foundations,published,1.0,ready,7,hub,articles/why-frameworks-matter-in-research-education-and-strategic-communication/
Catalyst Canvas,Content Frameworks,what-makes-a-powerful-content-framework,What Makes a Powerful Content Framework?,Foundations,published,0.375,needs metadata work,1,thinly linked,articles/what-makes-a-powerful-content-framework/
Catalyst Canvas,Content Frameworks,framework-literacy-and-the-structure-of-usable-knowledge,Framework Literacy and the Structure of Usable Knowledge,Foundations,planned,0.0,needs metadata work,0,thinly linked,articles/framework-literacy-and-the-structure-of-usable-knowledge/
Catalyst Canvas,Content Frameworks,frameworks-templates-and-models,Frameworks Templates and Models,Foundations,planned,0.0,needs metadata work,0,thinly linked,articles/frameworks-templates-and-models/
Catalyst Canvas,Content Frameworks,history-of-framework-thinking-in-communication-and-strategy,The History of Framework Thinking in Communication and Strategy,Foundations,planned,0.0,unknown,0,thinly linked,articles/history-of-framework-thinking-in-communication-and-strategy/
Catalyst Canvas,Content Frameworks,pillar-pages-and-topic-clusters,Pillar Pages and Topic Clusters,Knowledge Architecture,published,1.0,ready,2,thinly linked,articles/pillar-pages-and-topic-clusters/
Catalyst Canvas,Content Frameworks,narrative-pathways-and-knowledge-architecture,Narrative Pathways and Knowledge Architecture,Knowledge Architecture,published,0.0,unknown,0,thinly linked,articles/narrative-pathways-and-knowledge-architecture/
Catalyst Canvas,Content Frameworks,frameworks-for-digital-knowledge-systems,Frameworks for Digital Knowledge Systems,Knowledge Architecture,published,0.0,unknown,1,thinly linked,articles/frameworks-for-digital-knowledge-systems/
Catalyst Canvas,Content Frameworks,taxonomy-design-for-content-frameworks,Taxonomy Design for Content Frameworks,Knowledge Architecture,planned,0.0,unknown,0,thinly linked,articles/taxonomy-design-for-content-frameworks/
Catalyst Canvas,Content Frameworks,educational-scaffolding-and-the-design-of-learning-systems,Educational Scaffolding and the Design of Learning Systems,Educational Research and Conceptual Frameworks,published,0.0,unknown,1,thinly linked,articles/educational-scaffolding-and-the-design-of-learning-systems/
Catalyst Canvas,Content Frameworks,frameworks-for-research-communication,Frameworks for Research Communication,Educational Research and Conceptual Frameworks,published,0.875,ready,2,thinly linked,articles/frameworks-for-research-communication/
Catalyst Canvas,Content Frameworks,message-house-and-the-architecture-of-strategic-messaging,Message House and the Architecture of Strategic Messaging,Audience Need Value Positioning and Message Architecture,published,0.0,unknown,1,thinly linked,articles/message-house-and-the-architecture-of-strategic-messaging/
