slug,title,status,concept_cluster,learning_stage,orientation_score,prerequisite_score,example_score,feedback_score,transfer_score,accessibility_score,load_penalty,scaffold_readiness_score,scaffold_status
what-are-content-frameworks,What Are Content Frameworks?,published,Foundations,orientation,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,ready
why-frameworks-matter-in-research-education-and-strategic-communication,Why Frameworks Matter in Research Education and Strategic Communication,published,Foundations,foundation,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,ready
what-makes-a-powerful-content-framework,What Makes a Powerful Content Framework?,published,Foundations,foundation,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.9,ready
framework-literacy-and-the-structure-of-usable-knowledge,Framework Literacy and the Structure of Usable Knowledge,planned,Foundations,foundation,1.0,1.0,0.0,0.0,1.0,0.5,0.1,0.51,governance review
pillar-pages-and-topic-clusters,Pillar Pages and Topic Clusters,published,Knowledge Architecture,method,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.9,ready
narrative-pathways-and-knowledge-architecture,Narrative Pathways and Knowledge Architecture,published,Knowledge Architecture,method,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.9,ready
frameworks-for-digital-knowledge-systems,Frameworks for Digital Knowledge Systems,published,Knowledge Architecture,application,1.0,1.0,1.0,0.0,1.0,0.75,0.25,0.565,governance review
taxonomy-design-for-content-frameworks,Taxonomy Design for Content Frameworks,planned,Knowledge Architecture,method,1.0,1.0,0.0,0.0,1.0,0.5,0.1,0.51,governance review
internal-linking-as-framework-infrastructure,Internal Linking as Framework Infrastructure,published,Knowledge Architecture,guided_practice,1.0,0.0,1.0,1.0,1.0,1.0,0.1,0.7,governance review
content-audits-and-framework-governance,Content Audits and Framework Governance,published,Knowledge Architecture,critique,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.9,ready
editorial-metadata-and-content-systems,Editorial Metadata and Content Systems,published,Knowledge Architecture,method,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.9,ready
educational-scaffolding-and-the-design-of-learning-systems,Educational Scaffolding and the Design of Learning Systems,published,Educational Research and Conceptual Frameworks,method,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,ready
conceptual-models-in-communication,Conceptual Models in Communication,published,Educational Research and Conceptual Frameworks,foundation,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.9,ready
frameworks-for-research-communication,Frameworks for Research Communication,published,Educational Research and Conceptual Frameworks,application,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.9,ready
curriculum-pathways-and-framework-design,Curriculum Pathways and Framework Design,planned,Educational Research and Conceptual Frameworks,transfer,1.0,1.0,0.0,0.0,1.0,0.5,0.1,0.51,governance review
evidence-architecture-in-explanatory-content,Evidence Architecture in Explanatory Content,planned,Educational Research and Conceptual Frameworks,critique,1.0,1.0,0.0,0.0,1.0,0.5,0.1,0.51,governance review
