summary_type,name,count
reader_state,beginner,3
reader_state,editor,5
reader_state,practitioner,4
reader_state,researcher,1
reader_state,returning_reader,1
pathway_type,critical,1
pathway_type,foundational,1
pathway_type,governance,1
pathway_type,learning,1
pathway_type,research,1
article_role,comparison,1
article_role,critique,1
article_role,definition,1
article_role,foundation,1
article_role,governance,2
article_role,history,1
article_role,method,3
article_role,pillar,1
article_role,technical,3
