slug,status,status_valid,article_type,article_type_valid,cluster,cluster_valid
what-are-content-frameworks,published,True,foundational,True,Foundations,True
why-frameworks-matter-in-research-education-and-strategic-communication,published,True,foundational,True,Foundations,True
what-makes-a-powerful-content-framework,published,True,foundational,True,Foundations,True
pillar-pages-and-topic-clusters,published,True,methodological,True,Knowledge Architecture,True
narrative-pathways-and-knowledge-architecture,published,True,methodological,True,Knowledge Architecture,True
frameworks-for-digital-knowledge-systems,published,True,technical,True,Knowledge Architecture,True
taxonomy-design-for-content-frameworks,planned,True,methodological,True,Knowledge Architecture,True
internal-linking-as-framework-infrastructure,published,True,methodological,True,Knowledge Architecture,True
content-audits-and-framework-governance,published,True,governance,True,Knowledge Architecture,True
editorial-metadata-and-content-systems,published,True,technical,True,Knowledge Architecture,True
educational-scaffolding-and-the-design-of-learning-systems,published,True,methodological,True,Educational Research and Conceptual Frameworks,True
