"framework_id","framework_name","domain","primary_use","literacy_score","average_literacy_score","readiness_status","risk_severity","primary_blind_spot"
"FL001","Research Communication Framework","Research","Move from evidence to interpretation",48,4.8,"framework-literate use ready","low","May underrepresent lived experience if evidence hierarchy is too narrow"
"FL002","Educational Scaffolding","Education","Sequence learning from foundations to application",42,4.2,"framework-literate use ready","medium","May hide learner variation and accessibility needs"
"FL003","Message House","Strategic Communication","Align claims proof points and audience messages",36,3.6,"review required","medium","May hide uncertainty dissent or audience agency"
"FL004","Article Map","Digital Publishing","Organize a knowledge series",47,4.7,"framework-literate use ready","low","May create artificial boundaries between related domains"
"FL005","Content Audit Framework","Editorial Governance","Assess gaps duplication freshness and quality",48,4.8,"framework-literate use ready","low","May overvalue measurable fields over interpretive quality"
"FL006","Persuasive Sequence Framework","Communication","Sequence attention interest desire and action",27,2.7,"review required","high","May manipulate urgency and reduce audience agency"
"FL007","Persona Framework","Audience Research","Represent audience context and needs",31,3.1,"review required","high","May reproduce stereotypes or flatten audience diversity"
"FL008","Systems Explanation Framework","Public Reasoning","Explain interdependence feedback and tradeoffs",44,4.4,"framework-literate use ready","low","May underrepresent individual experience and moral urgency"
"FL009","Taxonomy Design Framework","Knowledge Architecture","Define categories boundaries and semantic relationships",47,4.7,"framework-literate use ready","low","May harden provisional categories into fixed boundaries"
"FL010","SWOT Analysis","Strategy","Compare strengths weaknesses opportunities and threats",31,3.1,"review required","medium","May encourage generic categories without evidence or prioritization"
