"framework_id","framework_name","period","lineage","domain","structure_type","primary_function","transferred_across_domains","governance_score","transfer_review_status","risk_severity","risk_note"
"HF001","Classical Rhetorical Arrangement","ancient","rhetorical","Communication","framework","Structure persuasive speech","yes",1,"risk review recommended","medium","Can support public reasoning or manipulation depending on use"
"HF002","Ethos Pathos Logos","ancient","rhetorical","Communication","framework","Analyze credibility emotion and reason","yes",1,"risk review recommended","medium","Can be reduced to persuasion tactics without ethical context"
"HF003","Classification and Taxonomy","ancient_to_modern","logical_classificatory","Knowledge Organization","framework","Group and retrieve knowledge","yes",1,"managed use","low","Can harden provisional categories into fixed boundaries"
"HF004","Curriculum Scaffolding","modern","educational","Education","framework","Sequence learning progression","yes",1,"managed use","low","Can become rigid if learner variation is ignored"
"HF005","Scientific Modeling","modern","scientific_modeling","Research","model","Represent relationships and mechanisms","yes",1,"managed use","low","Can be mistaken for reality if assumptions disappear"
"HF006","SWOT Analysis","modern","strategic_managerial","Strategy","framework","Organize internal and external factors","yes",0.6,"transfer review required","medium","Can become generic without evidence and prioritization"
"HF007","Porter Five Forces","modern","strategic_managerial","Strategy","framework","Analyze competitive forces","yes",1,"risk review recommended","medium","Can overemphasize competition in public value contexts"
"HF008","AIDA","modern","advertising_persuasive_sequence","Advertising","framework","Sequence audience response","yes",0.6,"transfer review required","high","Can encourage manipulation when agency and context are ignored"
"HF009","Information Architecture","late_modern","information_architecture","Digital Publishing","framework","Organize digital knowledge environments","yes",1,"managed use","low","Can overfit to navigation while missing conceptual depth"
"HF010","Content Strategy Governance","contemporary","content_strategy_governance","Editorial Systems","framework","Plan govern and maintain content systems","yes",1,"managed use","low","Can become process-heavy without editorial judgment"
"HF011","Metadata Standards","contemporary","knowledge_management_metadata","Knowledge Management","model","Represent managed content attributes","yes",1,"managed use","low","Can become mechanical if fields replace interpretation"
"HF012","Topic Cluster SEO","contemporary","digital_platform","Digital Publishing","framework","Organize content for search and navigation","yes",1,"risk review recommended","medium","Can optimize for search while weakening understanding"
"HF013","AI Generated Article Map","active","ai_assisted","AI-Assisted Workflows","workflow","Generate candidate content structures","yes",0,"transfer review required","high","Can scale generic structures without evidence or governance"
