slug,title,reference_records,high_authority_sources,ready_reference_records,reference_readiness_score,reference_status
what-are-content-frameworks,What Are Content Frameworks?,0,0,0,0.0,needs reference metadata review
why-frameworks-matter-in-research-education-and-strategic-communication,Why Frameworks Matter in Research Education and Strategic Communication,0,0,0,0.0,needs reference metadata review
what-makes-a-powerful-content-framework,What Makes a Powerful Content Framework?,0,0,0,0.0,needs reference metadata review
pillar-pages-and-topic-clusters,Pillar Pages and Topic Clusters,0,0,0,0.0,needs reference metadata review
narrative-pathways-and-knowledge-architecture,Narrative Pathways and Knowledge Architecture,0,0,0,0.0,needs reference metadata review
frameworks-for-digital-knowledge-systems,Frameworks for Digital Knowledge Systems,0,0,0,0.0,needs reference metadata review
taxonomy-design-for-content-frameworks,Taxonomy Design for Content Frameworks,0,0,0,0.0,needs reference metadata review
internal-linking-as-framework-infrastructure,Internal Linking as Framework Infrastructure,0,0,0,0.0,needs reference metadata review
content-audits-and-framework-governance,Content Audits and Framework Governance,0,0,0,0.0,needs reference metadata review
editorial-metadata-and-content-systems,Editorial Metadata and Content Systems,7,6,7,1.0,ready
educational-scaffolding-and-the-design-of-learning-systems,Educational Scaffolding and the Design of Learning Systems,0,0,0,0.0,needs reference metadata review
