slug,title,status,evidence_field_score,evidence_register_count,high_authority_sources,ready_evidence_records,evidence_readiness_score,evidence_status
what-are-content-frameworks,What Are Content Frameworks?,published,1.0,0,0,0,0.4,needs evidence review
why-frameworks-matter-in-research-education-and-strategic-communication,Why Frameworks Matter in Research Education and Strategic Communication,published,1.0,0,0,0,0.4,needs evidence review
what-makes-a-powerful-content-framework,What Makes a Powerful Content Framework?,published,1.0,1,0,0,0.4833,needs evidence review
framework-literacy-and-the-structure-of-usable-knowledge,Framework Literacy and the Structure of Usable Knowledge,planned,0.0,0,0,0,0.0,needs evidence review
pillar-pages-and-topic-clusters,Pillar Pages and Topic Clusters,published,1.0,0,0,0,0.4,needs evidence review
narrative-pathways-and-knowledge-architecture,Narrative Pathways and Knowledge Architecture,published,1.0,0,0,0,0.4,needs evidence review
frameworks-for-digital-knowledge-systems,Frameworks for Digital Knowledge Systems,published,1.0,0,0,0,0.4,needs evidence review
taxonomy-design-for-content-frameworks,Taxonomy Design for Content Frameworks,planned,0.0,0,0,0,0.0,needs evidence review
internal-linking-as-framework-infrastructure,Internal Linking as Framework Infrastructure,published,1.0,0,0,0,0.4,needs evidence review
content-audits-and-framework-governance,Content Audits and Framework Governance,published,1.0,5,5,5,1.0,ready
editorial-metadata-and-content-systems,Editorial Metadata and Content Systems,planned,0.0,0,0,0,0.0,needs evidence review
educational-scaffolding-and-the-design-of-learning-systems,Educational Scaffolding and the Design of Learning Systems,published,1.0,0,0,0,0.4,needs evidence review
frameworks-for-research-communication,Frameworks for Research Communication,published,1.0,0,0,0,0.4,needs evidence review
message-house-and-the-architecture-of-strategic-messaging,Message House and the Architecture of Strategic Messaging,published,1.0,1,0,0,0.4833,needs evidence review
framework-governance-and-editorial-maintenance,Framework Governance and Editorial Maintenance,planned,0.0,0,0,0,0.0,needs evidence review
framework-drift-and-conceptual-decay,Framework Drift and Conceptual Decay,planned,0.0,0,0,0,0.0,needs evidence review
