"catalog_product","series","slug","title","status","cluster","article_type","framework_health_score","health_status","duplicate_risk","github_path"
"Catalyst Canvas","Content Frameworks","content-audits-and-framework-governance","Content Audits and Framework Governance","published","Knowledge Architecture","governance",1,"ready","low","articles/content-audits-and-framework-governance/"
"Catalyst Canvas","Content Frameworks","editorial-metadata-and-content-systems","Editorial Metadata and Content Systems","planned","Knowledge Architecture","technical",0.0675,"governance review","medium","articles/editorial-metadata-and-content-systems/"
"Catalyst Canvas","Content Frameworks","educational-scaffolding-and-the-design-of-learning-systems","Educational Scaffolding and the Design of Learning Systems","published","Educational Research and Conceptual Frameworks","method",0.5738,"governance review","low","articles/educational-scaffolding-and-the-design-of-learning-systems/"
"Catalyst Canvas","Content Frameworks","framework-drift-and-conceptual-decay","Framework Drift and Conceptual Decay","planned","Framework Composition Scaling and Editorial Governance","governance",0.0675,"governance review","low","articles/framework-drift-and-conceptual-decay/"
"Catalyst Canvas","Content Frameworks","framework-governance-and-editorial-maintenance","Framework Governance and Editorial Maintenance","planned","Framework Composition Scaling and Editorial Governance","governance",0.0675,"governance review","low","articles/framework-governance-and-editorial-maintenance/"
"Catalyst Canvas","Content Frameworks","framework-literacy-and-the-structure-of-usable-knowledge","Framework Literacy and the Structure of Usable Knowledge","planned","Foundations","foundational",0.0375,"governance review","low","articles/framework-literacy-and-the-structure-of-usable-knowledge/"
"Catalyst Canvas","Content Frameworks","frameworks-for-digital-knowledge-systems","Frameworks for Digital Knowledge Systems","published","Knowledge Architecture","technical",0.57,"governance review","low","articles/frameworks-for-digital-knowledge-systems/"
"Catalyst Canvas","Content Frameworks","frameworks-for-research-communication","Frameworks for Research Communication","published","Educational Research and Conceptual Frameworks","method",0.5393,"governance review","low","articles/frameworks-for-research-communication/"
"Catalyst Canvas","Content Frameworks","internal-linking-as-framework-infrastructure","Internal Linking as Framework Infrastructure","published","Knowledge Architecture","method",0.76,"governance review","low","articles/internal-linking-as-framework-infrastructure/"
"Catalyst Canvas","Content Frameworks","message-house-and-the-architecture-of-strategic-messaging","Message House and the Architecture of Strategic Messaging","published","Audience Need Value Positioning and Message Architecture","strategic",0.5192,"governance review","medium","articles/message-house-and-the-architecture-of-strategic-messaging/"
"Catalyst Canvas","Content Frameworks","narrative-pathways-and-knowledge-architecture","Narrative Pathways and Knowledge Architecture","published","Knowledge Architecture","method",0.5152,"governance review","low","articles/narrative-pathways-and-knowledge-architecture/"
"Catalyst Canvas","Content Frameworks","pillar-pages-and-topic-clusters","Pillar Pages and Topic Clusters","published","Knowledge Architecture","method",0.76,"governance review","low","articles/pillar-pages-and-topic-clusters/"
"Catalyst Canvas","Content Frameworks","taxonomy-design-for-content-frameworks","Taxonomy Design for Content Frameworks","planned","Knowledge Architecture","method",0.0675,"governance review","medium","articles/taxonomy-design-for-content-frameworks/"
"Catalyst Canvas","Content Frameworks","what-are-content-frameworks","What Are Content Frameworks?","published","Foundations","foundational",0.73,"governance review","low","articles/what-are-content-frameworks/"
"Catalyst Canvas","Content Frameworks","what-makes-a-powerful-content-framework","What Makes a Powerful Content Framework?","published","Foundations","foundational",0.3789,"governance review","medium","articles/what-makes-a-powerful-content-framework/"
"Catalyst Canvas","Content Frameworks","why-frameworks-matter-in-research-education-and-strategic-communication","Why Frameworks Matter in Research Education and Strategic Communication","published","Foundations","foundational",0.7,"governance review","low","articles/why-frameworks-matter-in-research-education-and-strategic-communication/"
